1	Google assimilates YouTube !	Google	assimilates	YouTube
31	Adobe  To Purchase  Macromedia	Adobe	Purchase	Macromedia
32	Last year Paramount , the Viacom - owned studio , bought Dreamworks , the studio behind Shrek , for $ 774m and $ 840m in debt .	Viacom	---	Dreamworks
33	Hmm , interesting question , what 's in store for GMT  now that Google announced buying  YouTube .	Google	buying	YouTube
34	In a $ 1.65 billion stock - for - stock transaction , search engine Google ,  will purchase  YouTube , the consumer video media company .	Google	purchase	YouTube
35	Novartis buys Hexal , Eon Labs - Sify.com	Novartis	buys	Eon Labs
36	In a move that has surprised a few people , Google  announced today that it would acquire  YouTube , the fast growing online video sharing site founded by Chad Hurley and Steve Chen , ending months of speculation that You Tube was bound to fail and would be soon a just a vague memory .	Google	acquire	YouTube
37	Adobe , Macromedia and their directors and executive officers may be deemed to be participants in the solicitation of proxies from the stockholders of __ and __ in connection with the merger transaction .	Adobe	---	Macromedia
38	On April 18 , 2005 , Adobe  announced a definitive agreement to acquire  Macromedia in an all - stock transaction .	Adobe	acquire	Macromedia
39	Here is the video of the two __ founders talking about the Google acquisition in their YouTube way !	Google	acquisition	YouTube
40	August 24 , 2005 __ __ __ ( Nasdaq : ADBE ) and __ __ __ ( Nasdaq : MACR ) announced that the stockholders of each company have voted in favor of Adobe  's proposed acquisition of  Macromedia at their respective special stockholder meetings held today .	Adobe	acquisition	Macromedia
41	Adobe Systems  to acquire  Macromedia	Adobe Systems	acquire	Macromedia
42	Update 2 : Novartis  Buys Drugmakers  Hexal and Eon	Novartis	Buys	Eon
43	Google  Closing in on Deal to Buy  YouTube	Google	Buy	YouTube
44	__ __ __ ( Nasdaq : ADBE ) and __ __ __ ( Nasdaq : MACR ) announced that the stockholders of each company have voted in favor of Adobe  's proposed acquisition of  Macromedia at their respective special stockholder meetings held today .	Adobe	acquisition	Macromedia
45	In case you ' re interested in that sort of thing , the WSJ has a summary of analyst comments on the Google  deal for  YouTube .	Google	deal	YouTube
46	I got a media call about google  buying YouTube today  .	google	buying	YouTube
47	Adobe bought Macromedia for the Flash Platform and they are going to invest to make it great .	Adobe	bought	Macromedia
48	In the US , the world's largest generics market , Novartis  is acquiring control of  Eon Labs , one of the fastest - growing generic pharmaceutical companies .	Novartis	acquiring	Eon Labs
49	Streamingmedia.com : Adobe  Completes Macromedia Acquisition 	Adobe	Acquisition	Macromedia
50	Google eats YouTube	Google	eats	YouTube
51	Viacom  nearing deal to acquire  DreamWorks	Viacom	acquire	DreamWorks
52	Adobe  's Macromedia takeover  clears final hurdle	Adobe	takeover	Macromedia
53	Google  closes YouTube acquisition  - General News - www.pcauthority.com.au	Google	acquisition	YouTube
54	Adobe acquired Macromedia! - sephiroth.it - flash &amp;amp; php	Adobe	acquired	Macromedia!
55	Google  is going to buy  YouTube for more money than I can imagine I am picturing a stack of fivers that stands about as tall as Paul Daniels , which is roughly twenty five quid .	Google	buy	YouTube
56	Everybody knows by now that Google  has just acquired  YouTube ( Globe and Mail ) , adding the major play in online video clips to its arsenal of services where content meets advertising .	Google	acquired	YouTube
57	I ' m not sure that Google  will do the deal with  YouTube ; perhaps it will be Yahoo that will try to level the ad revenue playing field .	Google	deal	YouTube
58	RR : Guess  how much Google paid for  YouTube .	Google	paid	YouTube
59	Google  To Acquire  YouTube for $ 1.65 Billion in Stock at Total Lost in space Says :	Google	Acquire	YouTube
60	The increased output comes a year after Viacom acquired DreamWorks Pictures ( and , as a result , its __ TV arm ) .	Viacom	acquired	DreamWorks Pictures
61	Tags : statistics google buys youtube __ buy __ care __ + buys	google	buys	youtube
62	Interestingly , ShoeMoney announced that Google  would acquire  YouTube on Friday , October 6th .	Google	acquire	YouTube
63	Novartis  Completes Tender Offer For  Eon Labs , Inc. and Purchase of Majority Stake	Novartis	Offer	Eon Labs , Inc.
64	- Bloomberg - Adobe Systems  to Acquire  Macromedia for $ 3.4 Billion	Adobe Systems	Acquire	Macromedia
65	Amid all the hubbub over Google  's swallowing of  YouTube , we ve heard both considered commentary and over - the - top pontification about whether it's a good deal or a bad deal , for the newly - engorged company and for all those users in TV land .	Google	swallowing	YouTube
66	Google aquires Youtube = $ 1.65Billion	Google	aquires	Youtube
67	Google  has officially acquired  YouTube for a reported $ 1.65 bil .	Google	acquired	YouTube
68	Mega - search engine company Google  bought the profitless  YouTube for $ 1.65 million yesterday and this silly thank you video from Chad Hurley and Steve Chen shows the two __ twentysomething founders giddy to be billionaires .	Google	bought	YouTube
69	Google  looking to buy  YouTube for $ 1.6B ?	Google	buy	YouTube
70	Google  has acquired social media company  , Youtube for $ 1.65 billion in a stock - for - stock transaction as announcedby __ __ on October 9 , 2006 .	Google	acquired	Youtube
71	[ ] In the days leading up to and in the hours immediately following Google  's $ 1.65 billion buyout of  YouTube , I noticed that an extrodinary number of visitors were coming to this site through Yahoo searches .	Google	buyout	YouTube
72	The War Is Over : Google Wins , YouTube Gets Bought Soft32.com News	Google	---	YouTube
73	Search engine giant Google  has bought video - sharing website  YouTube in a controversial 883million deal .	Google	bought	YouTube
74	Google  on Monday announced the acquisition of  YouTube for US $ 1.65 billion in stock .	Google	acquisition	YouTube
75	Google Buys YouTube!! !	Google	Buys	YouTube!!
76	Adobe  's Acquisition Of  Macromedia Expected To Close On December 3 , 2005	Adobe	Acquisition	Macromedia
77	Adobe Buys Macromedia	Adobe	Buys	Macromedia
78	Under the terms of a proposed consent order with the Commission , __ is required to divest all the assets necessary to manufacture and market generic desipramine hydrochloride tablets , orphenadrine citrate extended release ( " ER " ) tablets , and rifampin oral capsules in the United States to Amide within 10 days of Novartis  's acquisition of  Eon .	Novartis	acquisition	Eon
79	Stock holders of Adobe Systems Inc. and Macromedia Inc. on Wednesday voted in favor of plan for __ to acquire __ in an all - stock deal expected to close later this year , the companies said in a joint statement .	Adobe Systems Inc.	---	Macromedia Inc.
80	Sumner Redstone , Chairman of the Board and CEO of Viacom , said , &amp;amp; ldquoThe acquisition of DreamWorks is an enormous step forward in our ongoing work to unlock the full potential of __ &amp;amp; rsquos brands and businesses .	Viacom	---	DreamWorks
81	Where does Google  's $ 1.65 billion YouTube acquisition  leave Microsoft ?	Google	acquisition	YouTube
82	What Google  's YouTube deal  means for Microsoft	Google	deal	YouTube
83	GOOGLE BUYS YOUTUBE	GOOGLE	BUYS	YOUTUBE
84	San Jose , Calif. - based Adobe  announced in April the plans to acquire  Macromedia , which makes the Flash animation software used to display graphics on Web sites .	Adobe	acquire	Macromedia
85	I was thinking about overpaying after reading an article in this morning &amp;amp; rsquos deadtree edition of the Wall Street Journal on the Viacom buyout of  Dreamworks SKG .	Viacom	buyout	Dreamworks SKG
86	- Viacom 's Paramount Pictures agreed to buy DreamWorks SKG for $ 1.6 billion in cash and debt , wresting the movie studio away from NBC Universal and securing the talents of Steven Spielberg .	Viacom	---	DreamWorks SKG
87	Google  's 1.65 Billion dollar Purchase of  YouTube - High Risk investment ?	Google	Purchase	YouTube
88	Novartis  completes acquisition of 98 of  Eon Labs	Novartis	acquisition	Eon Labs
89	[ ... ] More importantly though , between Google buying Youtube and their own video service , I think __ &amp;amp; #8217 ;'s thinking about the future of video .	Google	buying	Youtube
90	The Flash Player , developed and distributed by Adobe Systems (  who bought  Macromedia ) , is a client application available in most dominant web browsers .	Adobe Systems	bought	Macromedia
91	Novartis AG bought Eon Labs ( US ) and Hexal AG ( German ) in a deal worth $ 8.3 billion today both companies being generic drug makers .	Novartis AG	bought	Eon Labs
92	The deal will allow Adobe Systems and Macromedia to create more powerful software programmes , enabling them to expand their reach into newer markets .	Adobe Systems	---	Macromedia
93	CNN is reporting that Google  has agreed to buy  YouTube for $ 1.65 billion in stock ; not a bad price for a company started in February 2005 .	Google	buy	YouTube
94	In October , Google  acquired video sharing site  YouTube for $ US1.65 billion ( $ 2.21 billion ) .	Google	acquired	YouTube
95	Google  Has Acquired  YouTube	Google	Acquired	YouTube
96	Google  May Be Buying  YouTube for 1.6 Billion dollars	Google	Buying	YouTube
97	After all the speculation on the web recently about Google  's acquisition of  YouTube , it has finally been confirmed .	Google	acquisition	YouTube
98	__ __ __ ( Nasdaq : ADBE ) and __ __ __ ( Nasdaq : MACR ) today announced they have either received or been notified they will receive all regulatory clearances necessary to complete Adobe  's pending acquisition of  Macromedia .	Adobe	acquisition	Macromedia
99	as speculated over the weekend , Google  pulled the trigger and acquires   YouTube for $ 1.65 billion...huge windfall for their 67 employees !	Google	acquires	YouTube
100	The rumour has now been confirmed by Google and  are to acquire  Youtube for $ 1.65 Billion in Stock .	Google	acquire	Youtube
101	Google Acquires YouTube!! !	Google	Acquires	YouTube!!
102	We first heard about this when  the Google - Youtube acquisition news broke  , and wrote briefly about it here ( see last paragraph ) .	Google	acquisition	Youtube
103	The line of __ products is now controlled by its former rival , Adobe Systems ,  which acquired  Macromedia on December 14 , 2005 .	Adobe Systems	acquired	Macromedia
104	The rumors turned out to be true , Google  has officially announced the acquisition deal with  YouTube , for $ 1.65 billion in stock .	Google	acquisition	YouTube
105	This democratization continues on Google Video ( -- soon to swallow --- YouTube whole and complete its domination ) , which offers a number of feature documentaries including one called The Net by German filmmaker Lutz Dammbeck .	Google	---	YouTube
106	Novartis  Completes Acquisition of 98 % of  Eon Labs	Novartis	Acquisition	Eon Labs
107	Novartis buys Hexal , Eon for 5.6 billion	Novartis	buys	Eon
108	The Data Warehousing blog speculates about what changes users might expect from Google  's acquisition of  YouTube like more ads but the potential for more cool __ - esque features .	Google	acquisition	YouTube
109	According to Techcrunch ,  a possible Google buyout of  YouTube is the rumor du jour .	Google	buyout	YouTube
110	RR : Did you know that Google  just bought  YouTube ?	Google	bought	YouTube
111	Viacom bought Dreamworks in 2005 , who are Paramount's parent company .	Viacom	bought	Dreamworks
112	Entertainment giant VIACOM  has taken over the DREAMWORKS SKG studio  in a deal worth $ 1.6 billion ( 914 million ) .	VIACOM	taken	DREAMWORKS SKG
113	Other high - profile M &amp;amp; A activity : No. 4 Verizon Communications bought MCI ; SBC Communications Corp. bought AT &amp;amp; T Corp. and renamed itself ( No. 5 ) AT &amp;amp; T Sprint Corp. and Nextel Communications merged to form No. 16 Sprint Nextel Corp. ; No. 19 __ became a repository of the cable and entertainment operations of the old Viacom but  with newly acquired DreamWorks SKG ; and No. 23 Federated Department Stores acquired May Department Stores .	Viacom	---	DreamWorks SKG
114	__ are well - known for delivering digital media content for the web , and Adobe  's acquisition of  Macromedia may bring forth some exciting results .	Adobe	acquisition	Macromedia
115	Google  is in discussions to  acquire YouTube for $ 1.6 billion , people involved in the talks said yesterday .	Google	acquire	YouTube
116	Adobe announced late Thursday that it and Macromedia have either received or been notified they will receive all regulatory clearances necessary to complete the acquisition , which will cost __ US $ 3.4 billion .	Adobe	---	Macromedia
117	WSJ.com , Wired : Adobe Systems Inc.  announced the acquisition of  Macromedia Inc. for $ 3.4 billion in stock in a deal that will bring together the software of two companies with broad resources to distribute documents , video and other media to personal computers , cellphones and hand - held devices .	Adobe Systems Inc.	acquisition	Macromedia Inc.
118	Re : Adobe Acquires Macromedia in $ 3.4 Billion Stock Deal	Adobe	Acquires	Macromedia
119	Adobe  to buy out  Macromedia	Adobe	buy	Macromedia
120	Viacom  has won the bid to acquire  Dreamworks SKG , beating out NBC Universal .	Viacom	acquire	Dreamworks SKG
121	Adotas Google - Eyed with Alarm : How the YouTube Deal Has the Internet in Shackles	Google	---	YouTube
122	Google  confirmed that it will acquire  YouTube , the leading , consumer video sharing site , for $ 1.65 billion in a stock - for - stock transaction .	Google	acquire	YouTube
123	Apparently the rumor that Google  was buying  YouTube was less of a rumor than someone on the inside letting it slip out to the entire world .	Google	buying	YouTube
124	- Google  completes YouTube takeover 	Google	takeover	YouTube
125	Google Pocketed YouTube for $ 1.65 Billion !	Google	Pocketed	YouTube
126	Google  paid stunning YouTube price  : Time Warner CEO , Reuters	Google	paid	YouTube
127	On Monday , February 21 , 2005 , __ announced it had signed a definitive merger agreement pursuant to which Novartis AG  will acquire  Eon .	Novartis AG	acquire	Eon
128	Adobe  About to Buy  Macromedia .	Adobe	Buy	Macromedia
129	TMO Reports - Adobe Systems  Agrees to Buy  Macromedia for $ 3.4 Billion	Adobe Systems	Buy	Macromedia
130	Under terms of the deal , approved by the companies ' boards of directors , __ stockholders will receive 0.69 shares of Adobe common stock for every share of their Macromedia common stock .	Adobe	---	Macromedia
131	Google  Interested in Acquiring  YouTube	Google	Acquiring	YouTube
132	Anyway , in a friendly merger , subject to all the usual regulatory rules , Adobe Systems  is acquiring  Macromedia in an all - stock transaction valued at approximately $ 3.4 billion .	Adobe Systems	acquiring	Macromedia
133	Google  Closing In on YouTube Acquisition  ( 09 - Oct - 06 )	Google	Acquisition	YouTube
134	CXOtoday.com News Business Adobe  's Buy Out Of  Macromedia May Redefine Design Industry	Adobe	Buy	Macromedia
135	Rumours galore this morning on the possability of Google aquiring Youtube at $ 1.6 Billion .	Google	aquiring	Youtube
136	I thought most of what I had to say about Google  's brilliant acquisition of  YouTube had already been said , so I was going to pass on writing about it .	Google	acquisition	YouTube
137	Novartis  completes acquisition of approximately 98 %  Eon Labs , substantially strengthening the leading position of its Sandoz generics unit	Novartis	acquisition	Eon Labs
138	Adobe Systems  adquiere a su rival  Macromedia @ WEB DEVELOPER's &amp;amp; DESIGNER's JOURNAL	Adobe Systems	adquiere	Macromedia
139	Novartis  announces final results of Eon Labs tender offer 	Novartis	---	Eon Labs
140	Novartis  to Buy  Eon Labs , Hexel	Novartis	Buy	Eon Labs
141	Google  has acquired the video sharing website  YouTube for $ 1.65billion ( 883million ) in shares after a large amount of speculation over whether __ was talking about a deal with __ .	Google	acquired	YouTube
142	Chizen's Adobe  Gets U.S. DOJ OK To Buy  Macromedia - Forbes.com	Adobe	Buy	Macromedia
143	Related Posts to Adobe  's proposed acquisition of  macromedia clears U.S. department of justice review :	Adobe	acquisition	macromedia
144	Google aquires YouTube	Google	aquires	YouTube
145	Today , Google  has confirmed that it is acquiring  YouTube , a consumer media organization where users can view and share original videos through an Internet experience .	Google	acquiring	YouTube
146	__ agrees to be acquired by __ __ for $ 3.4 billion , or 0.69 Adobe share per Macromedia share .	Adobe	---	Macromedia
147	It doesn ' t take long to explain the rationale of the  proposed merger between  software makers  Adobe Systems ( ADBE ) and Macromedia ( MACR ) .	Adobe Systems	merger	Macromedia
148	Google  Is Said to Set Sights on  YouTube - New York Times	Google	---	YouTube
149	Novartis AG  would then merge  Hexal and Eon into its Sandoz unit .	Novartis AG	merge	Eon
150	Adobe Systems  plans to acquire  Macromedia for $ 3.4 billion in stock .	Adobe Systems	acquire	Macromedia
151	In the largest acquisition in its corporate history , Google  has purchased  YouTube for $ 1.65 billion worth of stocks .	Google	purchased	YouTube
152	Google  shares rise on $ 1.65bn YouTube buy 	Google	buy	YouTube
153	For example , if I link to &amp;amp; nbsp ; this excellent performance by The Who , does Google   's purchase of   YouTube make &amp;amp; nbsp ; it more or less likely that this link will still exist a year from now ?	Google	purchase	YouTube
154	As the effectiveness of the Paramount Agreements and Viacom   's acquisition of  DreamWorks Studios were each conditioned upon the other's occurrence , and as we and __ Studios were effectively under common control at the time of __ Studios ' acquisition by __ , we have recorded the $ 75 million signing bonus from Paramount , which is approximately $ 49 million on an after tax basis , as an increase to Additional - Paid - in - Capital .	Viacom	acquisition	DreamWorks
155	Adobe acquired Macromedia !	Adobe	acquired	Macromedia
156	 The sale to  Viacom  marks the end of an independent DreamWorks , founded 11 years ago by Jeffrey Katzenberg , Spielberg and Geffen .	Viacom	sale	DreamWorks
157	Then , again , some things never change , which is why the new Viacom  quickly renewed and won its bid for  DreamWorks , which analysts speculate could one day also encompass publicly traded __ Animation .	Viacom	bid	DreamWorks
158	 Google Inc.  is snapping up  YouTube Inc. for $ 1.65 billion in a deal that catapults the Internet search leader to a starring role in the online video revolution .	Google Inc.	snapping	YouTube Inc.
159	The following analysis about Viacom  's purchase of  DreamWorks in Levine Breaking News seems to be cribbed from Newsweek's coverage :	Viacom	purchase	DreamWorks
160	I won t argue that it doesn t make sense for Google  to purchase  Youtube in many ways , but what about from a __ users perspective ?	Google	purchase	Youtube
161	Google  has bought  YouTube for $ 1.65 - billion in stock .	Google	bought	YouTube
162	[ ] The Federal Trade Commission has approved Google  's aquisition of  YouTube .	Google	aquisition	YouTube
163	Modojo Community General Tech Google purchases Youtube	Google	purchases	Youtube
164	Staunton News : Google Buys YouTube.. .	Google	Buys	YouTube..
165	Full Version : Google Buys Youtube	Google	Buys	Youtube
166	Viacom 's Paramount Reaches Deal To Buy DreamWorks for $ 1.6 Billion	Viacom	---	DreamWorks
167	Chad and Steve announce the Google  acquisition of  YouTube .	Google	acquisition	YouTube
168	Novartis  To Buy  Hexal , Eon Labs For $ 8.3 Billion	Novartis	Buy	Eon Labs
169	Topic : Google Buys YouTube!!! ( Read 39 times )	Google	Buys	YouTube!!!
170	The New York Times published on december 12 an article called  Adobe  's Deal for  Macromedia May Help It Fend Off Microsof " were they say that __ got the control of __ 's crown jewel : Flash .	Adobe	Deal	Macromedia
171	Furthermore , Novartis  plans to also purchase  Eon Labs ' one third of active stock on the New York Stock Exchange ( NYSE ) for around $ 1 billion .	Novartis	purchase	Eon Labs
172	Everyone Has One Blog Archive &amp;amp; uarr Google  makes a smart move buying  YouTube	Google	buying	YouTube
173	( refer to my previous post about Google  's acquisition of  Youtube here. ) So , it basically allows users to upload and share their videos. < p	Google	acquisition	Youtube
174	Google  to buy  Youtube for 1.6 billion	Google	buy	Youtube
175	 The  purchase by Novartis of the 67.7 percent stake in  Eon Labs held by Santo Holding ( Deutschland ) GmbH , __ __ ' majority shareholder , will be completed shortly following the expiration of the tender offer .	Novartis	purchase	Eon Labs
176	August 2005 Adobe and Macromedia  Stockholders Approve Acquisition 	Adobe	Acquisition	Macromedia
177	Google  announced yesterday that they have bought  Youtube for $ 165 billion dollars in stock .	Google	bought	Youtube
178	- ABC News - Adobe  in $ 3.4 Bln Deal for  Macromedia	Adobe	Deal	Macromedia
179	Novartis  completes tender offer for  Eon Labs , Inc. and purchase of majority stake	Novartis	offer	Eon Labs , Inc.
180	Adobe Systems and Macromedia Inc.  are {joining this year to make a new company  , called __ __ .	Adobe Systems	joining	Macromedia Inc.
181	14 December - LAWFUEL - The Law News Network - Shearman &amp;amp; Sterling is advising Viacom and Paramount Pictures  on the acquisition of  DreamWorks LLC .	Viacom	acquisition	DreamWorks
182	The entry is titled Adobe  To Acquire  Macromedia , and is filed under : Web , Tech &amp;amp; Design .	Adobe	Acquire	Macromedia
183	Ola's thoughts : Google acquires YouTube	Google	acquires	YouTube
184	Google  just ate  YouTube .	Google	ate	YouTube
185	Google  will acquire  YouTube for a total of $ 1.65 BILLION in stock .	Google	acquire	YouTube
186	Novartis  receives FTC clearance for Eon Labs purchase  - MarketWatch	Novartis	purchase	Eon Labs
187	Google Nabs YouTube For $ 1.65bn	Google	Nabs	YouTube
188	Adobe  to buy  Macromedia for $ 3.4 billion wwwk.macromedia.com	Adobe	buy	Macromedia
189	Novartis  to acquire  Hexal AG and Eon Labs	Novartis	acquire	Eon Labs
190	After the conversion of certain commercial agreements from debt to advances , Viacom  expects a net purchase price for  DreamWorks of about $ 600 million .	Viacom	purchase	DreamWorks
191	Google  is reportedly in talks to acquire  YouTube Inc. for $ 1.6 billion , The Wall Street Journal's online edition reported this afternoon .	Google	acquire	YouTube Inc.
192	Google  Completes YouTube Deal  , Price Is $ 1.65 Billion	Google	Deal	YouTube
193	Why  did Novartis acquire Eon Labs  and integrate it with Sandoz ?	Novartis	acquire	Eon Labs
194	However , by the acquisition of the 67.5 % shareholding , Novartis  will also acquire sole control over  Eon Labs .	Novartis	acquire	Eon Labs
195	Google buys YouTube Flash application with Users for 1.65 Billion .	Google	buys	YouTube
196	Speaking at the recent ad : tech conference , Ms Reider said that Google  had bought  YouTube at just the right time , Ad Age reports .	Google	bought	YouTube
197	In September , the merger received nearly unanimous approval from both Adobe 's and Macromedia 's shareholders .	Adobe	---	Macromedia
198	When Google  announced the buying of  YouTube for 1.65 billions , some people began searching the keyword utube and ending on www.utube.com	Google	buying	YouTube
199	UPDATE : Google  Announces Acquisition of  YouTube .	Google	Acquisition	YouTube
200	Viacom Buys DreamWorks	Viacom	Buys	DreamWorks
201	Really interesting post about the shady dealings behind  the Google + YouTube deal  .	Google	deal	YouTube
202	BREAKING : Google  To Buy  YouTube For $ 1.65 Billion	Google	Buy	YouTube
203	Viacom Gets Dreamworks __ has bought __ __ Studio .	Viacom	Gets	Dreamworks
204	Around that same time , Viacom  completed its acquisition of  DreamWorks SKG , so CBS Paramount Television will now distribute __ ' library of films ( such as Shrek and Gladiator ) and TV series ( such as Spin City , which Paramount TV had already syndicated since 2000 , and Father of the Pride ) .	Viacom	acquisition	DreamWorks SKG
205	Sumner Redstone , Chairman of the Board and CEO of Viacom ,  said , " The acquisition of  DreamWorks is an enormous step forward in our ongoing work to unlock the full potential of __ 's brands and businesses. "	Viacom	acquisition	DreamWorks
206	Paramount Pictures , a subsidiary of Viacom ,  is acquiring  DreamWorks in a $ 1.6 billion transaction , which includes $ 774 million in cash ; the remainder of the purchase price is the assumption of debt and certain other obligations .	Viacom	acquiring	DreamWorks
207	Novartis  will buy  Eon Labs and Hexal	Novartis	buy	Eon Labs
208	Will the Google  purchase of  YouTube make __ partner MySpace upset ?	Google	purchase	YouTube
209	In a huge deal just announced , Adobe  has agreed to acquire  Macromedia in an all - stock transaction valued at $ 3.4 billion .	Adobe	acquire	Macromedia
210	Viacom ' buying Dreamworks '	Viacom	buying	Dreamworks
211	Publish : Corel CEO Sees Opportunities in Adobe - Macromedia Merger	Adobe	---	Macromedia
212	Google bought Youtube! ?	Google	bought	Youtube!
213	LISTEN Google Weds YouTube - KYW's Ian Bush and KYW Tech Reporter Bob Bicknell discuss the $ 1.65 billion stock deal that makes __ part of __ .	Google	Weds	YouTube
214	Shearman &amp;amp; Sterling Advises Viacom on DreamWorks Acquisition	Viacom	---	DreamWorks
215	[ ... ] Commentators around the world are still trying to make sense of Google  's $ 1.7 billion acquisition of  YouTube : is it the end of a free - wheeling era or the beginning of a Golden Information Age ?	Google	acquisition	YouTube
216	Google  finalises  YouTube buy  with share issue	Google	buy	YouTube
217	When Viacom  announced its acquisition of  DreamWorks SKG , __ stated it	Viacom	acquisition	DreamWorks SKG
218	Google Inc.  snapped up  YouTube Inc. for US $ 1.65 billion yesterday in a deal that catapults the Internet search leader to a leading role in the online video revolution .	Google Inc.	snapped	YouTube Inc.
219	Adobe  to Acquire  Macromedia - Industry News	Adobe	Acquire	Macromedia
220	Last week the internet Giant Google bought Youtube for 1.65 billion Dollars .	Google	bought	Youtube
221	Google ( GOOG : NASDAQ )  Snatches Up  YouTube	Google	Snatches	YouTube
222	Google  is buying video - sharing website  YouTube for $ 1.65bn ( 883m ) in shares after a weekend of speculation that a deal was in the offing .	Google	buying	YouTube
223	Adobe  has just bought  Macromedia for $ 3.4 Billion !	Adobe	bought	Macromedia
224	So , it's finally official that Google  is acquiring  YouTube .	Google	acquiring	YouTube
225	Recently , Adobe Systems Incorporated acquired Macromedia , Inc .	Adobe Systems Incorporated	acquired	Macromedia , Inc
226	[ ] BusinessWeek has an article where Microsoft's CEO Steve Ballmer speaks out about , among other things , the recent Google - YouTube acquisition .	Google	acquisition	YouTube
227	  Earlier this month , Viacom ( Research )  agreed to buy  DreamWorks Animation's privately held sibling __ __ and as part of that deal , the publicly traded studio will get $ 75 million in cash to pay down debt .	Viacom	buy	DreamWorks
228	EMediaLive.com : Adobe  's Proposed Acquisition of  Macromedia Clears U.S. Department of Justice Review	Adobe	Acquisition	Macromedia
229	With the conclusion of Adobe Systems Incorporated  's acquisition of  Macromedia , Inc. , many __ software applications such as Dreamweaver , Flash and Studio are available at discounted rates through the University's existing AJCU __ software agreement .	Adobe Systems Incorporated	acquisition	Macromedia , Inc.
230	The announcement is expected this afternoon or evening that Google  's bought  Youtube for 1.6 billion .	Google	bought	Youtube
231	  Yesterday Adobe Systems announced it acquired  software maker Macromedia Inc. in a stock deal worth a reported $ 3.4 billion .	Adobe Systems	acquired	Macromedia Inc.
232	[ ... ] Gizmodo did a pretty good job of coming up with a name of the merger between Google Video and Youtube .	Google	---	Youtube
233	The Commission therefore has concluded that , unremedied ,  the Novartis - Eon deal  would be likely to result in higher prices and other anticompetitive effects in each of these generic markets .	Novartis	deal	Eon
234	Flash move by Adobe  to buy up  Macromedia .	Adobe	buy	Macromedia
235	Google  makes video play with YouTube buy  ( October 9 , 2006 )	Google	buy	YouTube
236	Adobe Systems  ' proposed buyout of   Macromedia is expected to close Saturday , December 3 , both companies said Thursday night .	Adobe Systems	buyout	Macromedia
