1	Google assimilates YouTube !	Google	assimilates	YouTube	1	Correct
23	Google  snaps up  YouTube for $ 1.65B	Google	snaps up	YouTube	1	Correct
24	In October 2006 , Google buys Youtube for $ 1.65 billion .	Google	buys	Youtube	1	Correct
25	Google  reportedly in talks to buy  YouTube - Oct. 6 , 2006	Google	---	YouTube	-	Missing
26	On January 31 , 2006 , Viacom  completed its acquisition of  DreamWorks LLC ( __ ) , a producer of live - action motion pictures , television programming and home entertainment products .	Viacom	---	DreamWorks	-	Missing
27	 Another Google Acquisition  : YouTube	Google	---	YouTube	-	Missing
28	__ - Adobe  to acquire  Macromedia	Adobe	---	Macromedia	-	Missing
29	Oct. 10 : Google  buys the online video sharing site  YouTube for $ 1.65 billion in a deal expected to dramatically improve __ 's video traffic .	Google	buys	YouTube	1	Correct
30	Google  has acquired  Youtube , an online video sharing service , for US $ 1.65B in __ stock .	Google	has acquired	Youtube	1	Correct
31	Adobe  To Purchase  Macromedia	Adobe	---	Macromedia	-	Missing
32	Hmm , interesting question , what 's in store for GMT  now that Google announced buying  YouTube .	Google	---	YouTube	-	Missing
33	In a $ 1.65 billion stock - for - stock transaction , search engine Google ,  will purchase  YouTube , the consumer video media company .	Google	---	YouTube	-	Missing
34	Novartis buys Hexal , Eon Labs - Sify.com	Novartis	---	Eon Labs	-	Missing
35	In a move that has surprised a few people , Google  announced today that it would acquire  YouTube , the fast growing online video sharing site founded by Chad Hurley and Steve Chen , ending months of speculation that You Tube was bound to fail and would be soon a just a vague memory .	Google	---	YouTube	-	Missing
36	On April 18 , 2005 , Adobe  announced a definitive agreement to acquire  Macromedia in an all - stock transaction .	Adobe	---	Macromedia	-	Missing
37	Here is the video of the two __ founders talking about the Google acquisition in their YouTube way !	Google	---	YouTube	-	Missing
38	August 24 , 2005 __ __ __ ( Nasdaq : ADBE ) and __ __ __ ( Nasdaq : MACR ) announced that the stockholders of each company have voted in favor of Adobe  's proposed acquisition of  Macromedia at their respective special stockholder meetings held today .	Adobe	---	Macromedia	-	Missing
39	Adobe Systems  to acquire  Macromedia	Adobe Systems	---	Macromedia	-	Missing
40	Update 2 : Novartis  Buys Drugmakers  Hexal and Eon	Novartis	---	Eon	-	Missing
41	Google  Closing in on Deal to Buy  YouTube	Google	---	YouTube	-	Missing
42	__ __ __ ( Nasdaq : ADBE ) and __ __ __ ( Nasdaq : MACR ) announced that the stockholders of each company have voted in favor of Adobe  's proposed acquisition of  Macromedia at their respective special stockholder meetings held today .	Adobe	---	Macromedia	-	Missing
43	In case you ' re interested in that sort of thing , the WSJ has a summary of analyst comments on the Google  deal for  YouTube .	Google	---	YouTube	-	Missing
44	I got a media call about google  buying YouTube today  .	google	---	YouTube	-	Missing
45	Adobe bought Macromedia for the Flash Platform and they are going to invest to make it great .	Adobe	bought	Macromedia	1	Correct
46	In the US , the world's largest generics market , Novartis  is acquiring control of  Eon Labs , one of the fastest - growing generic pharmaceutical companies .	Novartis	is acquiring control of	Eon Labs	1	Correct
47	Streamingmedia.com : Adobe  Completes Macromedia Acquisition 	Adobe	---	Macromedia	-	Missing
48	Google eats YouTube	Google	eats	YouTube	1	Correct
49	Viacom  nearing deal to acquire  DreamWorks	Viacom	---	DreamWorks	-	Missing
50	Adobe  's Macromedia takeover  clears final hurdle	Adobe	---	Macromedia	-	Missing
51	Google  closes YouTube acquisition  - General News - www.pcauthority.com.au	Google	---	YouTube	-	Missing
52	Adobe acquired Macromedia! - sephiroth.it - flash &amp;amp; php	Adobe	acquired	Macromedia!	1	Correct
53	Google  is going to buy  YouTube for more money than I can imagine I am picturing a stack of fivers that stands about as tall as Paul Daniels , which is roughly twenty five quid .	Google	is going to buy	YouTube	1	Correct
54	Everybody knows by now that Google  has just acquired  YouTube ( Globe and Mail ) , adding the major play in online video clips to its arsenal of services where content meets advertising .	Google	has just acquired	YouTube	1	Correct
55	I ' m not sure that Google  will do the deal with  YouTube ; perhaps it will be Yahoo that will try to level the ad revenue playing field .	Google	will do the deal with	YouTube	1	Correct
56	RR : Guess  how much Google paid for  YouTube .	Google	---	YouTube	-	Missing
57	Google  To Acquire  YouTube for $ 1.65 Billion in Stock at Total Lost in space Says :	Google	---	YouTube	-	Missing
58	The increased output comes a year after Viacom acquired DreamWorks Pictures ( and , as a result , its __ TV arm ) .	Viacom	acquired	DreamWorks Pictures	1	Correct
59	Tags : statistics google buys youtube __ buy __ care __ + buys	google	---	youtube	-	Missing
60	Interestingly , ShoeMoney announced that Google  would acquire  YouTube on Friday , October 6th .	Google	would acquire	YouTube	1	Correct
61	Novartis  Completes Tender Offer For  Eon Labs , Inc. and Purchase of Majority Stake	Novartis	---	Eon Labs , Inc.	-	Missing
62	- Bloomberg - Adobe Systems  to Acquire  Macromedia for $ 3.4 Billion	Adobe Systems	---	Macromedia	-	Missing
63	Amid all the hubbub over Google  's swallowing of  YouTube , we ve heard both considered commentary and over - the - top pontification about whether it's a good deal or a bad deal , for the newly - engorged company and for all those users in TV land .	Google	---	YouTube	-	Missing
64	Google aquires Youtube = $ 1.65Billion	Google	---	Youtube	-	Missing
65	Google  has officially acquired  YouTube for a reported $ 1.65 bil .	Google	has officially acquired	YouTube	1	Correct
66	Mega - search engine company Google  bought the profitless  YouTube for $ 1.65 million yesterday and this silly thank you video from Chad Hurley and Steve Chen shows the two __ twentysomething founders giddy to be billionaires .	Google	bought	YouTube	1	Correct
67	Google  looking to buy  YouTube for $ 1.6B ?	Google	---	YouTube	-	Missing
68	Google  has acquired social media company  , Youtube for $ 1.65 billion in a stock - for - stock transaction as announcedby __ __ on October 9 , 2006 .	Google	---	Youtube	-	Missing
69	[ ] In the days leading up to and in the hours immediately following Google  's $ 1.65 billion buyout of  YouTube , I noticed that an extrodinary number of visitors were coming to this site through Yahoo searches .	Google	---	YouTube	-	Missing
70	Search engine giant Google  has bought video - sharing website  YouTube in a controversial 883million deal .	Google	---	YouTube	-	Missing
71	Google  on Monday announced the acquisition of  YouTube for US $ 1.65 billion in stock .	Google	---	YouTube	-	Missing
72	Google Buys YouTube!! !	Google	---	YouTube!!	-	Missing
73	Adobe  's Acquisition Of  Macromedia Expected To Close On December 3 , 2005	Adobe	---	Macromedia	-	Missing
74	Adobe Buys Macromedia	Adobe	---	Macromedia	-	Missing
75	Under the terms of a proposed consent order with the Commission , __ is required to divest all the assets necessary to manufacture and market generic desipramine hydrochloride tablets , orphenadrine citrate extended release ( " ER " ) tablets , and rifampin oral capsules in the United States to Amide within 10 days of Novartis  's acquisition of  Eon .	Novartis	---	Eon	-	Missing
76	Where does Google  's $ 1.65 billion YouTube acquisition  leave Microsoft ?	Google	---	YouTube	-	Missing
77	What Google  's YouTube deal  means for Microsoft	Google	---	YouTube	-	Missing
78	GOOGLE BUYS YOUTUBE	GOOGLE	---	YOUTUBE	-	Missing
79	San Jose , Calif. - based Adobe  announced in April the plans to acquire  Macromedia , which makes the Flash animation software used to display graphics on Web sites .	Adobe	---	Macromedia	-	Missing
80	I was thinking about overpaying after reading an article in this morning &amp;amp; rsquos deadtree edition of the Wall Street Journal on the Viacom buyout of  Dreamworks SKG .	Viacom	---	Dreamworks SKG	-	Missing
81	Google  's 1.65 Billion dollar Purchase of  YouTube - High Risk investment ?	Google	---	YouTube	-	Missing
82	Novartis  completes acquisition of 98 of  Eon Labs	Novartis	completes acquisition of	Eon Labs	1	Correct
83	[ ... ] More importantly though , between Google buying Youtube and their own video service , I think __ &amp;amp; #8217 ;'s thinking about the future of video .	Google	---	Youtube	-	Missing
84	The Flash Player , developed and distributed by Adobe Systems (  who bought  Macromedia ) , is a client application available in most dominant web browsers .	Adobe Systems	---	Macromedia	-	Missing
85	Novartis AG bought Eon Labs ( US ) and Hexal AG ( German ) in a deal worth $ 8.3 billion today both companies being generic drug makers .	Novartis AG	bought	Eon Labs	1	Correct
86	CNN is reporting that Google  has agreed to buy  YouTube for $ 1.65 billion in stock ; not a bad price for a company started in February 2005 .	Google	has agreed to buy	YouTube	1	Correct
87	In October , Google  acquired video sharing site  YouTube for $ US1.65 billion ( $ 2.21 billion ) .	Google	acquired	YouTube	1	Correct
88	Google  Has Acquired  YouTube	Google	Has Acquired	YouTube	1	Correct
89	Google  May Be Buying  YouTube for 1.6 Billion dollars	Google	May Be	YouTube	0	Mistake
90	After all the speculation on the web recently about Google  's acquisition of  YouTube , it has finally been confirmed .	Google	---	YouTube	-	Missing
91	__ __ __ ( Nasdaq : ADBE ) and __ __ __ ( Nasdaq : MACR ) today announced they have either received or been notified they will receive all regulatory clearances necessary to complete Adobe  's pending acquisition of  Macromedia .	Adobe	---	Macromedia	-	Missing
92	as speculated over the weekend , Google  pulled the trigger and acquires   YouTube for $ 1.65 billion...huge windfall for their 67 employees !	Google	acquires	YouTube	1	Correct
93	The rumour has now been confirmed by Google and  are to acquire  Youtube for $ 1.65 Billion in Stock .	Google	---	Youtube	-	Missing
94	Google Acquires YouTube!! !	Google	---	YouTube!!	-	Missing
95	We first heard about this when  the Google - Youtube acquisition news broke  , and wrote briefly about it here ( see last paragraph ) .	Google	---	Youtube	-	Missing
96	The line of __ products is now controlled by its former rival , Adobe Systems ,  which acquired  Macromedia on December 14 , 2005 .	Adobe Systems	acquired	Macromedia	1	Correct
97	The rumors turned out to be true , Google  has officially announced the acquisition deal with  YouTube , for $ 1.65 billion in stock .	Google	---	YouTube	-	Missing
98	Novartis  Completes Acquisition of 98 % of  Eon Labs	Novartis	---	Eon Labs	-	Missing
99	Novartis buys Hexal , Eon for 5.6 billion	Novartis	buys	Eon	1	Correct
100	The Data Warehousing blog speculates about what changes users might expect from Google  's acquisition of  YouTube like more ads but the potential for more cool __ - esque features .	Google	---	YouTube	-	Missing
101	According to Techcrunch ,  a possible Google buyout of  YouTube is the rumor du jour .	Google	---	YouTube	-	Missing
102	RR : Did you know that Google  just bought  YouTube ?	Google	just bought	YouTube	1	Correct
103	Viacom bought Dreamworks in 2005 , who are Paramount's parent company .	Viacom	bought	Dreamworks	1	Correct
104	Entertainment giant VIACOM  has taken over the DREAMWORKS SKG studio  in a deal worth $ 1.6 billion ( 914 million ) .	VIACOM	---	DREAMWORKS SKG	-	Missing
105	__ are well - known for delivering digital media content for the web , and Adobe  's acquisition of  Macromedia may bring forth some exciting results .	Adobe	---	Macromedia	-	Missing
106	Google  is in discussions to  acquire YouTube for $ 1.6 billion , people involved in the talks said yesterday .	Google	---	YouTube	-	Missing
107	WSJ.com , Wired : Adobe Systems Inc.  announced the acquisition of  Macromedia Inc. for $ 3.4 billion in stock in a deal that will bring together the software of two companies with broad resources to distribute documents , video and other media to personal computers , cellphones and hand - held devices .	Adobe Systems Inc.	announced the acquisition of	Macromedia Inc.	1	Correct
108	Re : Adobe Acquires Macromedia in $ 3.4 Billion Stock Deal	Adobe	---	Macromedia	-	Missing
109	Adobe  to buy out  Macromedia	Adobe	---	Macromedia	-	Missing
110	Viacom  has won the bid to acquire  Dreamworks SKG , beating out NBC Universal .	Viacom	---	Dreamworks SKG	-	Missing
111	Google  confirmed that it will acquire  YouTube , the leading , consumer video sharing site , for $ 1.65 billion in a stock - for - stock transaction .	Google	---	YouTube	-	Missing
112	Apparently the rumor that Google  was buying  YouTube was less of a rumor than someone on the inside letting it slip out to the entire world .	Google	was buying	YouTube	1	Correct
113	- Google  completes YouTube takeover 	Google	---	YouTube	-	Missing
114	Google Pocketed YouTube for $ 1.65 Billion !	Google	---	YouTube	-	Missing
115	Google  paid stunning YouTube price  : Time Warner CEO , Reuters	Google	---	YouTube	-	Missing
116	On Monday , February 21 , 2005 , __ announced it had signed a definitive merger agreement pursuant to which Novartis AG  will acquire  Eon .	Novartis AG	will acquire	Eon	1	Correct
117	Adobe  About to Buy  Macromedia .	Adobe	---	Macromedia	-	Missing
118	TMO Reports - Adobe Systems  Agrees to Buy  Macromedia for $ 3.4 Billion	Adobe Systems	---	Macromedia	-	Missing
119	Google  Interested in Acquiring  YouTube	Google	Interested in	YouTube	0	Mistake
120	Anyway , in a friendly merger , subject to all the usual regulatory rules , Adobe Systems  is acquiring  Macromedia in an all - stock transaction valued at approximately $ 3.4 billion .	Adobe Systems	is acquiring	Macromedia	1	Correct
121	Google  Closing In on YouTube Acquisition  ( 09 - Oct - 06 )	Google	---	YouTube	-	Missing
122	CXOtoday.com News Business Adobe  's Buy Out Of  Macromedia May Redefine Design Industry	Adobe	---	Macromedia	-	Missing
123	Rumours galore this morning on the possability of Google aquiring Youtube at $ 1.6 Billion .	Google	---	Youtube	-	Missing
124	I thought most of what I had to say about Google  's brilliant acquisition of  YouTube had already been said , so I was going to pass on writing about it .	Google	---	YouTube	-	Missing
125	Novartis  completes acquisition of approximately 98 %  Eon Labs , substantially strengthening the leading position of its Sandoz generics unit	Novartis	completes acquisition of approximately	Eon Labs	1	Correct
126	Adobe Systems  adquiere a su rival  Macromedia @ WEB DEVELOPER's &amp;amp; DESIGNER's JOURNAL	Adobe Systems	---	Macromedia	-	Missing
127	Novartis  to Buy  Eon Labs , Hexel	Novartis	---	Eon Labs	-	Missing
128	Google  has acquired the video sharing website  YouTube for $ 1.65billion ( 883million ) in shares after a large amount of speculation over whether __ was talking about a deal with __ .	Google	has acquired	YouTube	1	Correct
129	Chizen's Adobe  Gets U.S. DOJ OK To Buy  Macromedia - Forbes.com	Adobe	---	Macromedia	-	Missing
130	Related Posts to Adobe  's proposed acquisition of  macromedia clears U.S. department of justice review :	Adobe	---	macromedia	-	Missing
131	Google aquires YouTube	Google	---	YouTube	-	Missing
132	Today , Google  has confirmed that it is acquiring  YouTube , a consumer media organization where users can view and share original videos through an Internet experience .	Google	---	YouTube	-	Missing
133	It doesn ' t take long to explain the rationale of the  proposed merger between  software makers  Adobe Systems ( ADBE ) and Macromedia ( MACR ) .	Adobe Systems	---	Macromedia	-	Missing
134	Novartis AG  would then merge  Hexal and Eon into its Sandoz unit .	Novartis AG	would then merge	Eon	1	Correct
135	Adobe Systems  plans to acquire  Macromedia for $ 3.4 billion in stock .	Adobe Systems	plans to acquire	Macromedia	1	Correct
136	In the largest acquisition in its corporate history , Google  has purchased  YouTube for $ 1.65 billion worth of stocks .	Google	has purchased	YouTube	1	Correct
137	Google  shares rise on $ 1.65bn YouTube buy 	Google	---	YouTube	-	Missing
138	For example , if I link to &amp;amp; nbsp ; this excellent performance by The Who , does Google   's purchase of   YouTube make &amp;amp; nbsp ; it more or less likely that this link will still exist a year from now ?	Google	---	YouTube	-	Missing
139	As the effectiveness of the Paramount Agreements and Viacom   's acquisition of  DreamWorks Studios were each conditioned upon the other's occurrence , and as we and __ Studios were effectively under common control at the time of __ Studios ' acquisition by __ , we have recorded the $ 75 million signing bonus from Paramount , which is approximately $ 49 million on an after tax basis , as an increase to Additional - Paid - in - Capital .	Viacom	---	DreamWorks	-	Missing
140	Adobe acquired Macromedia !	Adobe	acquired	Macromedia	1	Correct
141	 The sale to  Viacom  marks the end of an independent DreamWorks , founded 11 years ago by Jeffrey Katzenberg , Spielberg and Geffen .	Viacom	marks the end of	DreamWorks	0	Mistake
142	Then , again , some things never change , which is why the new Viacom  quickly renewed and won its bid for  DreamWorks , which analysts speculate could one day also encompass publicly traded __ Animation .	Viacom	won its bid for	DreamWorks	1	Correct
143	 Google Inc.  is snapping up  YouTube Inc. for $ 1.65 billion in a deal that catapults the Internet search leader to a starring role in the online video revolution .	Google Inc.	is snapping up	YouTube Inc.	1	Correct
144	The following analysis about Viacom  's purchase of  DreamWorks in Levine Breaking News seems to be cribbed from Newsweek's coverage :	Viacom	---	DreamWorks	-	Missing
145	I won t argue that it doesn t make sense for Google  to purchase  Youtube in many ways , but what about from a __ users perspective ?	Google	---	Youtube	-	Missing
146	Google  has bought  YouTube for $ 1.65 - billion in stock .	Google	has bought	YouTube	1	Correct
147	[ ] The Federal Trade Commission has approved Google  's aquisition of  YouTube .	Google	---	YouTube	-	Missing
148	Modojo Community General Tech Google purchases Youtube	Google	---	Youtube	-	Missing
149	Staunton News : Google Buys YouTube.. .	Google	---	YouTube..	-	Missing
150	Full Version : Google Buys Youtube	Google	---	Youtube	-	Missing
151	Chad and Steve announce the Google  acquisition of  YouTube .	Google	---	YouTube	-	Missing
152	Novartis  To Buy  Hexal , Eon Labs For $ 8.3 Billion	Novartis	---	Eon Labs	-	Missing
153	Topic : Google Buys YouTube!!! ( Read 39 times )	Google	---	YouTube!!!	-	Missing
154	The New York Times published on december 12 an article called  Adobe  's Deal for  Macromedia May Help It Fend Off Microsof " were they say that __ got the control of __ 's crown jewel : Flash .	Adobe	---	Macromedia	-	Missing
155	Furthermore , Novartis  plans to also purchase  Eon Labs ' one third of active stock on the New York Stock Exchange ( NYSE ) for around $ 1 billion .	Novartis	---	Eon Labs	-	Missing
156	Everyone Has One Blog Archive &amp;amp; uarr Google  makes a smart move buying  YouTube	Google	makes	YouTube	0	Mistake
157	( refer to my previous post about Google  's acquisition of  Youtube here. ) So , it basically allows users to upload and share their videos. < p	Google	---	Youtube	-	Missing
158	Google  to buy  Youtube for 1.6 billion	Google	---	Youtube	-	Missing
159	 The  purchase by Novartis of the 67.7 percent stake in  Eon Labs held by Santo Holding ( Deutschland ) GmbH , __ __ ' majority shareholder , will be completed shortly following the expiration of the tender offer .	Novartis	---	Eon Labs	-	Missing
160	August 2005 Adobe and Macromedia  Stockholders Approve Acquisition 	Adobe	---	Macromedia	-	Missing
161	Google  announced yesterday that they have bought  Youtube for $ 165 billion dollars in stock .	Google	---	Youtube	-	Missing
162	- ABC News - Adobe  in $ 3.4 Bln Deal for  Macromedia	Adobe	---	Macromedia	-	Missing
163	Novartis  completes tender offer for  Eon Labs , Inc. and purchase of majority stake	Novartis	---	Eon Labs , Inc.	-	Missing
164	Adobe Systems and Macromedia Inc.  are {joining this year to make a new company  , called __ __ .	Adobe Systems	---	Macromedia Inc.	-	Missing
165	14 December - LAWFUEL - The Law News Network - Shearman &amp;amp; Sterling is advising Viacom and Paramount Pictures  on the acquisition of  DreamWorks LLC .	Viacom	---	DreamWorks	-	Missing
166	The entry is titled Adobe  To Acquire  Macromedia , and is filed under : Web , Tech &amp;amp; Design .	Adobe	---	Macromedia	-	Missing
167	Ola's thoughts : Google acquires YouTube	Google	acquires	YouTube	1	Correct
168	Google  just ate  YouTube .	Google	just ate	YouTube	1	Correct
169	Google  will acquire  YouTube for a total of $ 1.65 BILLION in stock .	Google	will acquire	YouTube	1	Correct
170	Novartis  receives FTC clearance for Eon Labs purchase  - MarketWatch	Novartis	---	Eon Labs	-	Missing
171	Google Nabs YouTube For $ 1.65bn	Google	---	YouTube	-	Missing
172	Adobe  to buy  Macromedia for $ 3.4 billion wwwk.macromedia.com	Adobe	---	Macromedia	-	Missing
173	Novartis  to acquire  Hexal AG and Eon Labs	Novartis	---	Eon Labs	-	Missing
174	After the conversion of certain commercial agreements from debt to advances , Viacom  expects a net purchase price for  DreamWorks of about $ 600 million .	Viacom	---	DreamWorks	-	Missing
175	Google  is reportedly in talks to acquire  YouTube Inc. for $ 1.6 billion , The Wall Street Journal's online edition reported this afternoon .	Google	---	YouTube Inc.	-	Missing
176	Google  Completes YouTube Deal  , Price Is $ 1.65 Billion	Google	---	YouTube	-	Missing
177	Why  did Novartis acquire Eon Labs  and integrate it with Sandoz ?	Novartis	---	Eon Labs	-	Missing
178	However , by the acquisition of the 67.5 % shareholding , Novartis  will also acquire sole control over  Eon Labs .	Novartis	will also acquire sole control over	Eon Labs	1	Correct
179	Google buys YouTube Flash application with Users for 1.65 Billion .	Google	---	YouTube	-	Missing
180	Speaking at the recent ad : tech conference , Ms Reider said that Google  had bought  YouTube at just the right time , Ad Age reports .	Google	had bought	YouTube	1	Correct
181	When Google  announced the buying of  YouTube for 1.65 billions , some people began searching the keyword utube and ending on www.utube.com	Google	announced	YouTube	0	Mistake
182	UPDATE : Google  Announces Acquisition of  YouTube .	Google	---	YouTube	-	Missing
183	Viacom Buys DreamWorks	Viacom	---	DreamWorks	-	Missing
184	Really interesting post about the shady dealings behind  the Google + YouTube deal  .	Google	---	YouTube	-	Missing
185	BREAKING : Google  To Buy  YouTube For $ 1.65 Billion	Google	---	YouTube	-	Missing
186	Viacom Gets Dreamworks __ has bought __ __ Studio .	Viacom	---	Dreamworks	-	Missing
187	Around that same time , Viacom  completed its acquisition of  DreamWorks SKG , so CBS Paramount Television will now distribute __ ' library of films ( such as Shrek and Gladiator ) and TV series ( such as Spin City , which Paramount TV had already syndicated since 2000 , and Father of the Pride ) .	Viacom	completed its acquisition of	DreamWorks SKG	1	Correct
188	Sumner Redstone , Chairman of the Board and CEO of Viacom ,  said , " The acquisition of  DreamWorks is an enormous step forward in our ongoing work to unlock the full potential of __ 's brands and businesses. "	Viacom	---	DreamWorks	-	Missing
189	Paramount Pictures , a subsidiary of Viacom ,  is acquiring  DreamWorks in a $ 1.6 billion transaction , which includes $ 774 million in cash ; the remainder of the purchase price is the assumption of debt and certain other obligations .	Viacom	---	DreamWorks	-	Missing
190	Novartis  will buy  Eon Labs and Hexal	Novartis	---	Eon Labs	-	Missing
191	Will the Google  purchase of  YouTube make __ partner MySpace upset ?	Google	---	YouTube	-	Missing
192	In a huge deal just announced , Adobe  has agreed to acquire  Macromedia in an all - stock transaction valued at $ 3.4 billion .	Adobe	has agreed to acquire	Macromedia	1	Correct
193	Viacom ' buying Dreamworks '	Viacom	---	Dreamworks	-	Missing
194	Google bought Youtube! ?	Google	bought	Youtube!	1	Correct
195	LISTEN Google Weds YouTube - KYW's Ian Bush and KYW Tech Reporter Bob Bicknell discuss the $ 1.65 billion stock deal that makes __ part of __ .	Google	---	YouTube	-	Missing
196	[ ... ] Commentators around the world are still trying to make sense of Google  's $ 1.7 billion acquisition of  YouTube : is it the end of a free - wheeling era or the beginning of a Golden Information Age ?	Google	---	YouTube	-	Missing
197	Google  finalises  YouTube buy  with share issue	Google	---	YouTube	-	Missing
198	When Viacom  announced its acquisition of  DreamWorks SKG , __ stated it	Viacom	announced its acquisition of	DreamWorks SKG	1	Correct
199	Google Inc.  snapped up  YouTube Inc. for US $ 1.65 billion yesterday in a deal that catapults the Internet search leader to a leading role in the online video revolution .	Google Inc.	snapped up	YouTube Inc.	1	Correct
200	Adobe  to Acquire  Macromedia - Industry News	Adobe	---	Macromedia	-	Missing
201	Last week the internet Giant Google bought Youtube for 1.65 billion Dollars .	Google	bought	Youtube	1	Correct
202	Google ( GOOG : NASDAQ )  Snatches Up  YouTube	Google	---	YouTube	-	Missing
203	Google  is buying video - sharing website  YouTube for $ 1.65bn ( 883m ) in shares after a weekend of speculation that a deal was in the offing .	Google	---	YouTube	-	Missing
204	Adobe  has just bought  Macromedia for $ 3.4 Billion !	Adobe	has just bought	Macromedia	1	Correct
205	So , it's finally official that Google  is acquiring  YouTube .	Google	is acquiring	YouTube	1	Correct
206	Recently , Adobe Systems Incorporated acquired Macromedia , Inc .	Adobe Systems Incorporated	acquired	Macromedia , Inc	1	Correct
207	[ ] BusinessWeek has an article where Microsoft's CEO Steve Ballmer speaks out about , among other things , the recent Google - YouTube acquisition .	Google	---	YouTube	-	Missing
208	  Earlier this month , Viacom ( Research )  agreed to buy  DreamWorks Animation's privately held sibling __ __ and as part of that deal , the publicly traded studio will get $ 75 million in cash to pay down debt .	Viacom	---	DreamWorks	-	Missing
209	EMediaLive.com : Adobe  's Proposed Acquisition of  Macromedia Clears U.S. Department of Justice Review	Adobe	---	Macromedia	-	Missing
210	With the conclusion of Adobe Systems Incorporated  's acquisition of  Macromedia , Inc. , many __ software applications such as Dreamweaver , Flash and Studio are available at discounted rates through the University's existing AJCU __ software agreement .	Adobe Systems Incorporated	---	Macromedia , Inc.	-	Missing
211	The announcement is expected this afternoon or evening that Google  's bought  Youtube for 1.6 billion .	Google	---	Youtube	-	Missing
212	  Yesterday Adobe Systems announced it acquired  software maker Macromedia Inc. in a stock deal worth a reported $ 3.4 billion .	Adobe Systems	---	Macromedia Inc.	-	Missing
213	The Commission therefore has concluded that , unremedied ,  the Novartis - Eon deal  would be likely to result in higher prices and other anticompetitive effects in each of these generic markets .	Novartis	---	Eon	-	Missing
214	Flash move by Adobe  to buy up  Macromedia .	Adobe	---	Macromedia	-	Missing
215	Google  makes video play with YouTube buy  ( October 9 , 2006 )	Google	---	YouTube	-	Missing
216	Adobe Systems  ' proposed buyout of   Macromedia is expected to close Saturday , December 3 , both companies said Thursday night .	Adobe Systems	---	Macromedia	-	Missing
217	NEWS : Adobe  's Proposed Acquisition of  Macromedia Clears U.S. Department of Justice	Adobe	---	Macromedia	-	Missing
218	After roomers spilled around the web last week about Google  offering $ 1.65 Billion to buy  YouTube , this offer had been confirmed and __ has accepted .	Google	---	YouTube	-	Missing
219	Novartis  completes acquisition of 98 %  Eon Labs	Novartis	completes acquisition of	Eon Labs	1	Correct
220	something happened and it didnt go through , so now they are trying again with Google   now owning  Youtube .	Google	---	Youtube	-	Missing
221	NOTE : Viacom acquired Dreamworks in early 2006 , selling off __ ' past films to finance the purchase .	Viacom	acquired	Dreamworks	1	Correct
222	Novartis  to Buy  Hexal and Eon Labs	Novartis	---	Eon Labs	-	Missing
